"id";"name";"seller";"actual_price";"json_fechas";"json_precios"
31;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-12400F-+-H610M-*REQUIERE-PLACA-DE-VIDEO;Logg;367355.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,275999,367355,367355,367355,367355,367355,367355,367355,367355,367355,367355]
32;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-13100F-+-H610M-+-16GB*REQUIERE-PLACA-DE-VIDEO;Logg;372679.0;"[""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,372679,372679,372679,372679,372679,372679,372679,372679,372679,372679]
33;PROCESADOR-INTEL-CORE-I5-12600K-BX8071512600K-DE-10-NÚCLEOS-Y-49GHZ-DE-FRECUENCIA-CON-GRÁFICA-INTEGRADA;AcuarioInsumos;372794.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[260762,260762,260762,260762,260762,266281,269831,269831,284033,284033,284033,284033,284033,284033,284033,284033,284033,284033,319537,337290,337290,337290,337290,337290,337290,337290,337290,337290,372794,372794,372794]
34;PROCESADOR-INTEL-CORE-I5-12600K-DE-10-NÚCLEOS-49GHZ-ACUARIO;AcuarioInsumos;376667.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[263471,263471,263471,263471,263471,269048,272635,272635,286984,286984,286984,286984,286984,286984,286984,286984,286984,286984,322857,340794,340794,340794,340794,340794,340794,340794,340794,340794,376667,376667,376667]
35;PC-DE-ESCRITORIO-CPU-INTEL-CORE-I5-10400-8GB-M2-240GB;GamingCity;391799.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[332199,324999,324999,324999,324999,324999,324999,324599,324599,324599,324599,324599,315000,315000,315000,313599,314499,314499,314499,391299,391399,391399,391399,391399,391399,391399,391399,391399,391799,391799,391799]
36;MICRO-INTEL-CORE-I5-13400F-10-NÚCLEOS-/-16-THREADS-46GHZ-(13VA-GEN)-LGA1700;Gezatek;393999.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[239999,239999,239999,239999,239999,239999,239999,239999,239999,239999,239999,239999,239999,271999,271999,271999,271999,271999,303999,303999,303999,303999,303999,303999,303999,303999,303999,303999,364999,437999,393999]
37;COMBO-DE-ACTUALIZACION-INTEL-CORE-I5-12400F-+-H610M-+-16GB-*REQUIERE-PLACA-DE-VIDEO;Logg;417933.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,313999,417933,417933,417933,417933,417933,417933,417933,417933,417933,417933]
38;COMBO-ACTUALIZACION-PC-INTEL-CORE-I5-12400-H610-16GB;GamingCity;427599.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[362899,362899,362899,362899,362899,362899,362899,362899,362899,362899,362899,361299,361299,361299,361299,355899,355899,355899,438200,438399,438399,438399,438399,438399,438399,438399,438399,427599,427599,427599]
39;MICRO-INTEL-CORE-I5-13400-10-NÚCLEOS-/-16-THREADS-46GHZ-(13VA-GEN)-LGA1700;Gezatek;440999.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,279999,316999,316999,316999,316999,316999,353999,353999,353999,353999,353999,353999,353999,353999,353999,339999,407999,489999,440999]
40;COMBO-ACTUALIZACIÓN-PC-INTEL-CORE-I5-10400-+-H510M-+-8GB;SlotOne;448590.0;"[""21/9"",""22/9"",""23/9"",""24/9"",""25/9"",""26/9"",""27/9"",""28/9"",""29/9"",""30/9"",""1/10"",""2/10"",""3/10"",""4/10"",""5/10"",""6/10"",""7/10"",""8/10"",""9/10"",""10/10"",""11/10"",""12/10"",""13/10"",""14/10"",""15/10"",""16/10"",""17/10"",""18/10"",""19/10"",""20/10"",""21/10""]";[279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,279300,345990,345990,448590]
